X,Y,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text
72.2488,157.9035,Layer 1,,,,,
72.38995,158.045000026168,Layer 1,,,,,
72.5311,157.9035,Layer 1,,,,,
72.8133,157.762000026168,Layer 1,,,,,
73.0955,157.621,Layer 1,,,,,
73.51885,157.480000026168,Layer 1,,,,,
73.9422,157.339,Layer 1,,,,,
74.0833,157.198000026168,Layer 1,,,,,
74.2244,156.3515,Layer 1,,,,,
74.3655,155.505000026168,Layer 1,,,,,
74.5066,155.2225,Layer 1,,,,,
74.6477,154.940000026168,Layer 1,,,,,
74.7888,154.799,Layer 1,,,,,
74.92995,154.658000026168,Layer 1,,,,,
75.0711,154.517,Layer 1,,,,,
75.2122,154.376000026168,Layer 1,,,,,
75.3533,154.235,Layer 1,,,,,
75.4944,154.094000026168,Layer 1,,,,,
75.6355,153.9525,Layer 1,,,,,
75.7766,153.811000026168,Layer 1,,,,,
75.9177,153.67,Layer 1,,,,,
76.19995,153.529000026168,Layer 1,,,,,
76.4822,153.388,Layer 1,,,,,
76.7644,153.247000026168,Layer 1,,,,,
77.0466,153.106,Layer 1,,,,,
77.3288,152.965000026168,Layer 1,,,,,
77.611,152.8235,Layer 1,,,,,
77.89325,152.682000026168,Layer 1,,,,,
78.1755,152.541,Layer 1,,,,,
78.4577,152.400000026168,Layer 1,,,,,
78.7399,152.259,Layer 1,,,,,
79.02215,152.118000026168,Layer 1,,,,,
79.3044,151.977,Layer 1,,,,,
79.5866,151.836000026168,Layer 1,,,,,
79.8688,151.695,Layer 1,,,,,
80.15105,151.554000026168,Layer 1,,,,,
80.4333,151.4125,Layer 1,,,,,
80.5744,151.271000026168,Layer 1,,,,,
80.7155,151.13,Layer 1,,,,,
80.8566,150.989000026168,Layer 1,,,,,
80.9977,150.848,Layer 1,,,,,
80.8566,150.707000026168,Layer 1,,,,,
80.7155,150.4245,Layer 1,,,,,
80.5744,150.142000026168,Layer 1,,,,,
80.4333,148.731,Layer 1,,,,,
80.29215,147.320000026168,Layer 1,,,,,
80.151,145.909,Layer 1,,,,,
80.0099,144.498000026168,Layer 1,,,,,
79.8688,143.9335,Layer 1,,,,,
79.7277,143.369000026168,Layer 1,,,,,
79.5866,142.9455,Layer 1,,,,,
79.4455,142.522000026168,Layer 1,,,,,
79.3044,141.958,Layer 1,,,,,
79.1633,141.394000026168,Layer 1,,,,,
79.0222,140.9705,Layer 1,,,,,
78.88105,140.547000026168,Layer 1,,,,,
78.7399,140.1235,Layer 1,,,,,
78.5988,139.700000026168,Layer 1,,,,,
78.4577,139.1355,Layer 1,,,,,
78.3166,138.571000026168,Layer 1,,,,,
78.1755,138.148,Layer 1,,,,,
78.0344,137.725000026168,Layer 1,,,,,
77.8933,137.1605,Layer 1,,,,,
77.75215,136.596000026168,Layer 1,,,,,
77.611,136.0315,Layer 1,,,,,
77.4699,135.467000026168,Layer 1,,,,,
77.3288,134.9025,Layer 1,,,,,
77.1877,134.338000026168,Layer 1,,,,,
77.0466,133.7735,Layer 1,,,,,
76.9055,133.209000026168,Layer 1,,,,,
76.7644,132.6445,Layer 1,,,,,
76.6233,132.080000026168,Layer 1,,,,,
76.4822,131.5155,Layer 1,,,,,
76.34105,130.951000026168,Layer 1,,,,,
76.1999,130.3865,Layer 1,,,,,
76.0588,129.822000026168,Layer 1,,,,,
75.9177,129.1165,Layer 1,,,,,
